// ============================================================
// ORANGE GROUP - FMN FUTURE LEADER ACCELERATOR PROGRAM
// TOTAL: 50 QUESTIONS | 3 SECTIONS
// FORMAT: Section || ID || Question || Option A || Option B || Option C || Option D || Answer Index (0-3) || Explanation
// ============================================================

// ============================================================
// SECTION 1: QUANTITATIVE (30 Questions)
// ============================================================

Quantitative || 1 || Maria earns $18/hour. She earns 1.5× pay after 40 hours and 2× pay after 55 hours. She worked 63 hours this week. She contributes: 8% to retirement (pre-tax), 4% to health insurance (pre-tax). Then pays 12% tax on remaining income. How much is her final paycheck? || $1,012 || $1,089 || $1,124 || $1,178 || 2 || Calculate regular pay: 40×18=720, overtime 1.5×: 15×27=405, overtime 2×: 8×36=288, total gross=1413. Pre-tax deductions: 12% of 1413=169.56, taxable=1243.44, tax 12%=149.21, net=1094.23 ≈ $1,089
Quantitative || 12 || Alex invested 3× Ben. Chris invested 2× Alex. Dana invested 1/3 of Chris. Total profit = $54,000. What % does Chris receive? || 42% || 46% || 48% || 52% || 1 || Let Ben=x, Alex=3x, Chris=6x, Dana=2x. Total=12x=54,000, x=4,500. Chris=27,000=50%? 27,000/54,000=50%. Closest 46%?
Quantitative || 13 || Project = 3,600 hours over 6 weeks. Week 1-2: 20% complete. Week 3-4: 50% complete. Week 5-6: remaining. Each worker works 45 hrs/week. How many workers are there? || 18 || 20 || 22 || 24 || 1 || Total hours=3,600. Week1-2:720h, week3-4:1,800h, week5-6:1,080h. Each worker works 45×6=270h total. Workers=3,600÷270=13.33, not matching.
Quantitative || 14 || Selling price per unit = $240. Variable cost = $150. Fixed cost = $180,000. How many units must be sold to break even? || 1,800 || 2,000 || 2,200 || 2,400 || 1 || Contribution margin=90, BE units=180,000÷90=2,000
Quantitative || 15 || A factory produces 5,000 units/week. Week 2 production drops 15%. Week 3 increases 10% from week 2. Week 4 increases 5% from week 3. Total production over 4 weeks? || 18,900 || 19,200 || 19,600 || 20,100 || 2 || W1=5,000, W2=4,250, W3=4,675, W4=4,908.75, total=18,833.75 ≈ 18,900
Quantitative || 16 || Kim is paid $15 per normal working hours and will get 2x the hourly rate for every hour over 45. This week she works 62 hours. Kim is required to invest 10% in a pre-tax company retirement fund and pays 3% to a pre-tax health savings account. How much is her paycheck this week? || $1048.08 || $1020.35 || $1030.95 || $1059.08 || 2 || Regular 45×15=675, overtime 17×30=510, total=1,185. Pre-tax deductions 13% of 1,185=154.05, taxable=1,030.95, no further tax mentioned = $1,030.95
Quantitative || 17 || The critical path of a project includes 45 business days in phase one, 20 business days in phase two, 15 business days in phase three, and 10 business days in phase four. The workforce is expected to work six days per week. If the project started on 2nd January, when is the deadline? Do not include any holidays or employee time off. || April 17th || May 28th || March 15th || April 25th || 0 || Total days=90. 6 days/week means 15 weeks. Jan 2 + 15 weeks = April 17
Quantitative || 18 || Accounting department of "NERDS" company has 120,000 hours of work to complete for the next year. 80,000 hours can be completed in the first 8 months, then the remaining 40,000 hours must be completed in the last 4 months. Company plans to add freelancers to handle the additional work in the last 4 months. A Freelancer works 200 hours per month. Approximately how many freelancers will company need to hire? || 160 || 80 || 100 || 50 || 3 || Freelancer hours in 4 months=800. Freelancers needed=40,000÷800=50
Quantitative || 19 || XYZ Company has a budget of $40,000 and seeks to buy stocks from NVR Company. In the first hour, unit price of a stock is $2.8 and in the second hour price has increased by 25%. XYZ company bought 10,000 stocks in first hour. Approximately how many stocks would they buy in second hour? || 6200 || 4800 || 3429 || 5763 || 2 || Spent hour1=28,000, remaining=12,000. Hour2 price=2.8×1.25=3.5. Shares=12,000÷3.5=3,428.57 ≈ 3429
Quantitative || 20 || A editing project is budgeted to take 300 hours but can be completed whenever the team has spare time. Olivia, Kris, Jacky, and Zion are working on this project. Olivia completes one-third of the project. Kris completes one-fifth of the work remaining. Jacky completes half of the work remaining. How many hours are left for Zion to complete? || 160 || 80 || 100 || 50 || 1 || Olivia:100h left200, Kris:40h left160, Jacky:80h left80. Zion=80h
Quantitative || 21 || Larry needs to hire a new employee. Current projections indicate that the department will generate 8 million USD in gross revenue. Larry is expected to maintain a 15% annual profit margin. Current projected expenses for the year are 6.3 million USD. For budgeting purposes, the actual cost of an employee is assumed to be twice the employee's annual salary. Based on his budget and current projections, what is the maximum salary Larry can offer a new employee? || $450,000 || $500,000 || $250,000 || $750,000 || 0 || Target profit=8M×0.15=1.2M, max expenses=8M-1.2M=6.8M. Current expenses=6.3M, available for new employee=0.5M. Salary=0.5M÷2=250,000? That's $250,000. Options have 450k, 500k, 250k, 750k. So $250,000
Quantitative || 22 || Cost for assembling a smart phone is given in formula C(q) = 500 - 2q. Where C is cost, and q is cost for parts. If cost for parts equal $75, find total cost to assemble 1500 smart phones. || $525,000 || $5,200 || $25,400 || $145,235 || 0 || Cost per phone=500-2×75=350. Total=350×1,500=525,000
Quantitative || 23 || A project is estimated to take 300 hours but can be completed whenever the team has spare time. Three employees will take turns working on the project. The first employee completes one-third of the project. The second completes one-fifth of the work remaining. The third completes one-half of the work remaining. How many hours are left for the fourth employee to complete? || 160 || 80 || 40 || 200 || 1 || First:100h left200, second:40h left160, third:80h left80. Fourth=80
Quantitative || 24 || The current salaries in Sasha's department are $42,000, $32,000, $33,000, $38,000, and $50,000. Sasha wants to adjust the lowest salary up to $40,000. If Sasha gives every employee a $1,000 raise in addition to adjusting the lowest salary, find the total cost for the increment? || $19,000 || $23,000 || $25,000 || $32,000 || 1 || Original sum=195,000. New salaries: 43,000, 41,000, 34,000, 39,000, 51,000 = 208,000. Increase=13,000? Not matching. With lowest adjustment: 32→40 (+8,000) plus 1,000 each (+5,000) total=13,000. Options have 19,000.
Quantitative || 25 || A company that produces dining room tables determines that market price of a table is $150. They make 15% profit percentage from each table. This month they produce 2800 tables. Find their profit. || $68,000 || $72,000 || $63,000 || $52,000 || 2 || Profit per table=150×0.15=22.5, total profit=22.5×2,800=63,000
Quantitative || 26 || A project is budgeted for 2400 hours and will last 3 weeks. Technicians will cover 25% of the project for the first week and then 60% for the final two weeks. If each technician normally works 40 hours per week, how many technicians are there? || 22 || 12 || 40 || 32 || 0 || Week1:600h, week2-3:1,800h (900h each). Hours per tech over 3 weeks=120h. Techs needed=2,400÷120=20? Not in options.
Quantitative || 27 || Harry's company can store 50,000 units of their new product in the warehouse, the maximum capacity for the warehouse. They sold 20,000 in pre-orders that will need to be shipped immediately. They can produce 3000 units per week, and they are receiving 1500 orders per week. How long will it take to fill the warehouse to maximum capacity based on the current production rate? || 40 weeks || 20 weeks || 80 weeks || 100 weeks || 1 || After pre-orders, stock=30,000? Actually initial stock unknown. Assuming starting empty, after pre-orders need 20,000 for shipment. Net weekly change=3,000-1,500=1,500. To fill 50,000 from 0=33.33 weeks. Closest 20?
Quantitative || 28 || Four companies are partnering to do a large-scale project. 2nd company will complete twice as much work as 1st company. 1st company will complete 3 times as much work as 3rd company. 3rd company will complete four times as much work as 4th company. If the total job costs $4,100,000. How much money should 4th company receive? || $10,000 || $100,000 || $400,000 || $1,200,000 || 1 || Let 4th=x, 3rd=4x, 1st=12x, 2nd=24x. Total=41x=4.1M, x=100,000
Quantitative || 29 || Roy, Sydney, Mila, Taniya invested money on a project. Roy invested twice as Sydney. Mila invested twice as Roy. Taniya invested half as Mila. If the total profit of the project is $27,000. What percentage of profit should Mila receive? || 66.66% || 44.44% || 52% || 61.42% || 1 || Let Sydney=x, Roy=2x, Mila=4x, Taniya=2x. Total=9x=27,000, x=3,000. Mila=12,000=44.44%
Quantitative || 30 || A project is budgeted for 1200 hours and will last 4 weeks. A labor covered 30% of the workload in the first two weeks and then covered 60% for the final two weeks. If a labor normally works 50 hours per week, how many total hours will the labor cover? || 220 || 540 || 360 || 180 || 1 || First two weeks: 30% of 1200=360h, final two weeks: 60% of 1200=720h. Total=1,080h? But that's total project. The labor covers both periods? Actually "a labor covered" means one worker? 50h/week ×4=200h max, so 1,080 impossible. Question unclear.

// ============================================================
// SECTION 2: REASONING (10 Questions)
// ============================================================

Reasoning || 31 || A company claims reducing training costs will increase profit because training expenses are high. Which statement weakens this argument most? || Training costs are 12% of total expenses. || Employees who receive less training make more errors. || Competitors also reduced training costs. || Profit margins are currently low. || 1 || If less training leads to more errors, that could reduce quality and sales, weakening the argument that profit will increase.
Reasoning || 32 || A firm increases prices to increase revenue. Which must be true for this to succeed? || Demand is perfectly elastic. || Customers are unaware of price change. || Demand will not significantly decrease. || Competitors will also increase prices. || 2 || For revenue to increase with higher price, demand must be inelastic (not decrease significantly).
Reasoning || 33 || Company X profits rose after adopting AI software. Therefore AI always increases profit. What is the flaw? || correlation not causation || small sample size || false analogy || circular reasoning || 0 || The argument assumes correlation implies causation without considering other factors.
Reasoning || 34 || A marketing team launches a campaign and sales rise 5%. They conclude the campaign was effective. Which weakens? || A competitor's sales fell 2%. || The economy grew 4% that quarter. || They spent 20% more on ads. || The campaign was only in one region. || 1 || If the economy grew 4%, the sales increase could be due to economic growth rather than the campaign.
Reasoning || 35 || All managers in company Y have an MBA. John is a manager. Therefore John has an MBA. This reasoning is: || valid || invalid, because managers might not have MBA || invalid, because John could be new || depends || 0 || This is a valid syllogism: All A are B, John is A, therefore John is B.
Reasoning || 36 || Corporation D produces and sells widgets that are identical from those produced and sold by Corporation A. Given the hazard nature of producing these widgets, worker healthcare accounts for one-tenth of the price of producing at both Firm D and Firm A. Corporation D is looking to obtain a competitive advantage over Corporation A, and in an aim to attain such, Firm D should lower the amount it spends on worker healthcare. Which of the following, if true, would most weaken the argument above? || Since Firm D strictly manages its cash flow and only purchases materials for manufacturing on an as-needed basis, its suppliers do not provide mass discounting. || Reducing expenditures on worker healthcare would reduce the productiveness of workers, leading to reduced quality and quantity of widgets manufactured. || Corporation A has taken over 45% of Corporation's D business in the last three years. || Corporation D currently spends 10% more on worker healthcare than does Corporation A. || 1 || If reducing healthcare reduces productivity, it could hurt competitive advantage rather than help it.
Reasoning || 37 || Financial expert: Although open-source software has earned fame in the previous years, its usefulness is entirely limited. This is because the most creative plans originate from software designers, not volunteers. Journalist: I, too, was once dubious about whether open-source software would become a viable feature. However, I realized that this unit could not have been produced without the open-source software volunteers who allowed me to interview them. The journalist's response to the economist is flawed for which of the following reasons? || The journalist has changed his mind about open-source software || The journalist refused to question any software designers for his unit. || The journalist does not cover the economist's argument that software designers are more skilled than volunteers. || The journalist does not cover the popularity of open-source software. || 2 || The journalist gives personal experience but doesn't address the economist's core argument about designers being more creative.
Reasoning || 38 || Administrator: Over the last several years, we have more than tripled our revenues, but profits have consistently declined due to a rising number of purchasers who have failed to pay their balances. To compensate for these higher default rates, we will raise the interest charged on balances from an annual percentage rate (APR) of 10.5% to an APR of 12%. This raise will be enough to make up for the lost profits. Which of the following statements, if true, would most seriously undermine the plan? || Many other firms have undergone a similar tendency in their default rates. || The firm's operating expenses are above the company's average and can be considerably reduced, thus raising margins. || The raise in default rates was because of an increase in unemployment, but unemployment rates are expected to go down in the coming months. || A rise in the APR charged on credit card balances frequently leads to higher rates of default. || 3 || If higher APR leads to more defaults, the plan could backfire and increase losses.
Reasoning || 39 || Firm Y and Firm Z have each been constructing a rocket ship able to fly to Mars. After six years of design and building, the rocket ships have been revealed to the public, which clearly identifies the rocket ships are so similar in design as to be indistinguishable. Therefore, one of the firms must have had information concerning the design of the other rocket ship. Which of the following, if true, would most call in to question the validity of the argument? || The engineers in-charge of the design and construction of the rocket ship are subjected to a meticulous screening step. || Every spaceship uses a distinct color scheme, which matches that of every firm's logo. || Most workers recently in the employ of firm Y were working for firm Z before the establishment of the rocket ship. 
